hostel_name,City,latitude,longitude,hostel_rating,hostel_landmark,hostel_votes,hostel_contact1,hostel_contact2,hostel_address,hostel_single_share,hostel_double_share,hostel_triple_share,hostel_type,air_conditioner,free_wifi,mess,cleaning_facility,security,hostel_reviews
Satkaar Boys Hostel,Indore,22.6878949,75.8641184,3.75,Bhawarkuan; Indore,7Votes,7747858700,7747858700,47; Anantpuri Colony; Indrapuri Colony; Bhanwar Kuwa; Indore; Madhya Pradesh 452014; India,6000,5000,4500,For Boys,AC,Wifi,Mess,Cleaning,Security,mayflower park hostel-great location great hostel enjoyed night stay mayflower park hostel august 2005. busy time seattle ring cycle opera week upgraded suite pleasant surprise; wet bar coffeemaker mini-refigerator sink large living area desk free wireless internet access nice sofa comfy chairs king bed large closet/dressing room nice bathroom small historic fittings; hostel member historic hostels america lobby small evokes historic feeling; nice bonus invitation wednesday early evening wine tasting hors d'oeuvres restaurant andalucia; pleasant experience; did n't time use fitness center hostel location right center town provided lots exercise walking seattle hills; walked rei pike place market pioneer square victory brewery hostel; desk bell staff particularly helpful host wine tasting pleasant; certainly recommend mayflower park hostel definitely stay again-there seattle barely scratched surface;  
Satkar Boys Hostel,Indore,22.6948594,75.8666709,3.915,Bhawarkuan; Indore,7Votes,8370000930,8839048424,19-20; Bhawarkua Main Road Professor's Colony;Near Kesar Sarees; opposite Apple Hospital; Bhanwar Kuwa; Indore; Madhya Pradesh 452001; India,9000,7000,5500,For Boys,NonAC,Wifi,Mess,Cleaning,Security,horrible customer service hostel stay february 3rd 4th 2007my friend picked hostel monaco appealing website online package included champagne late checkout 3 free valet gift spa weekend; friend checked room hours earlier came later; pulled valet young man just stood; asked valet open said; pull bags didn__Ã‡_Ã©_ offer help; got garment bag suitcase came car key room number says not valet; car park car street pull; left key working asked valet park car gets; went room fine bottle champagne oil lotion gift spa; dressed went came got bed noticed blood drops pillows sheets pillows; disgusted just unbelievable; called desk sent somebody 20 minutes later; swapped sheets left apologizing; sunday morning called desk speak management sheets aggravated rude; apparently no manager kind supervisor weekend wait monday morning; young man spoke said cover food adding person changed sheets said fresh blood rude tone; checkout 3pm package booked; 12 1:30 staff maids tried walk room opening door apologizing closing; people called saying check 12 remind package; finally packed things went downstairs check; quickly signed paper took; way took closer look room; unfortunately covered food offered charged valet; called desk ask charges lady answered snapped saying aware problem experienced monday like told earlier; life treated like hostel; not sure hostel constantly problems lucky ones stay recommend anybody know;  
Satkar For Boys,Indore,22.693412,75.881424,2.9,Navlakha; Indore,9Votes,7566661404,8982830392,163; Nemawar Rd; Shivmoti Nagar; Navlakha; Indore; Madhya Pradesh 452001; India,NA,4000,3800,For Boys,NonAC,Wifi,Mess,Cleaning,Security,perfect bride/groom guests; husband chose marqueen wedding hostel july; talking hostel seattle marqueen best rates rooms/amenities run stay 3 nights 4th free- check website deals; excellent location amazingly easy work; offered small block rooms needing guaranteed fanatic went forth guest service manager times super nice; left bottle champagne room night wedding; thoughtful; rooms like small apartments- pictures posted previous guests accurate stayed room 202 nice view hostel 1st; small kitchenette built dining space huge bedroom small sitting room; used 202 brides getting ready room housed people comer/goers feeling crammed.the marqueen older building great architecture light took sight pictures headed wedding bride/groom; like hostels basics large room clean internet service; bellman help second car pulls opens/closes doors time arrive desk nice marqueen adds extra touch looking; esp wedding weekend.other details drawback didnt think dont serve breakfast; kitchenette pesos street yummy breakfasts; close multiple restaurants lower queen anne 2 large grocery stores kits camera came handy dry cleaners kinkos 2 starbucks- 4 block radius marqueen.- super clean rooms maids really good not disturbing wedding stuff organizing room service.- downtown shuttle awesome fyi- marriott lake union doesnt shuttle- guests staying overall disappointed parking easy valeted hostel time minimally; free internet worked well/fast; hooray; didnt notice elevator older guests handicapped; rooms floor.overall 5 stars highly recommend marqueen; enjoy; havnt added pics room 202 posted reviewer quite messy room; pictures good truly room;  
Satkar For Boys,Indore,22.7008461,75.875687,3.4,Navlakha; Indore,5Votes,7566661404,8982830392,4; Bus Stand; 20; Navlakha Rd; Infront of; Maa Durga Nagar; Navlakha; Indore; Madhya Pradesh 452001; India,NA,NA,"4,000",For Boys,NonAC,Wifi,Mess,Cleaning,Security,good value downtown hostel monaco seattle great option pricey area town; rooms w street going close 400 night; hostel monaco unique interesting cozy; bed/linens quality aveda products bathroom nice touch.you close downtown quick cab ride away nightlife restaurants loved lola; experience quirky luxurious fun.i definitely stay;  
Satkar For Girls,Indore,22.690046,75.8650676,3,Bhawarkuan; Indore,7Votes,7566661404,8982830392,25; Piplia Rao; AB Rd; opposite of Medi Square Hospital; Bhanvarkuan; Indrapuri Colony; Bhanwar Kuwa; Indore; Madhya Pradesh 460447; India,NA,4800,4500,For Girls,NonAC,Wifi,Mess,Cleaning,Security,great location clean rooms stayed june 3 nights; definitely no thrills place room fourth floor massive new carpet comfy bed clean sheets walk warbrobe sink; toilet shower room coridoor; refurb shower pressure great clean.it really close pike place pretty attraction walking distance depending far fancy walking; decor alittle dull nothing really bother; staff really helpfull friendly; location fairly safe did n't problems seatlle does fair share crazies pretty harmless.the bar door not normally home town popped cheeky cider ended chatting locals really cool little rough edges;  
Satkar For Girls,Indore,22.691486,75.8627395,2.7,Bhawarkuan; Indore,6Votes,9109999706,9575366000,196; Vishnupuri Nx Colony; Vishnu Puri Colony; Indore; Madhya Pradesh 452001; India,NA,5000,4000,For Girls,NonAC,Wifi,Mess,Cleaning,Security,great just returned staying; hostel great value clean comfortable; rooms not large fine old section; terminal free wireless internet access lobby; like reviewer just not pick signal laptop room; morning breakfast great afternoon snacks nice bonus; enjoyed location desk staff young friendly helpful;  
Satkar For Girls,Indore,22.693736,75.8814401,4.1,Navlakha; Indore,15Votes,7566661404,8982830392,269; 14/1; Sajan Nagar; navalakha; Madhya Pradesh 452001; India,NA,4500,4000,For Girls,NonAC,Wifi,Mess,Cleaning,Security,solidly good; stayed night business place daylight sadly; missed view did not mind city-side room; room little small eentsy-teentsy sized tv perfectly adequate; great mattress linens; loved bathroom stone floors shower; great service desk arranging transportation airport 4:30 a.m. thought price 279 little pricey got;  
Satkar For Girls,Indore,22.6978542,75.8697827,3.6,Sapna Sangeeta Road; Indore,7Votes,7566661404,8982830392,165; Baghwadeen Nagar; Janki Nagar Extension; Vidya Nagar; Indore; Madhya Pradesh 452001; India,5000,4800,4500,For Girls,NonAC,Wifi,Mess,Cleaning,Security,nice hostel nice location stayed hostel andra night quick stop seattle start family vacation; nice clean hostel exceptional service; rooms bed comfortable exception airconditioning bit noisy; bathroom small clean; stay travelling kids longer stay definately rooms;  
Satkar For Girls,Indore,22.6968585,75.8683671,4.5,Sapna Sangeeta Road; Indore,8Votes,7566661404,8982830092,177; Vidya Nagar; Indore; Madhya Pradesh 452001; India,NA,"5,500","5,000",For Girls,NonAC,Wifi,Mess,Cleaning,Security,nice location lovely room view good requesting view seattle fruitless did n't realize view bay day checked clouds lifted ferry cruising grey water rewarding sun comes; room warm experience hostel rooms tend chilly cozily decorated sandy tones appealing bureau instead typical tv cabinet drawers; room clean nicely turned arrived comfortable bathroom closet; hostel employees spoke pleasant; hostel excellent location tourism pike street market easy walk street taxis readily available nearby; upscale malls various sizes immediate area large movie theatres borders barnes noble williams sonoma anne taylor original nordstrom nordstrom rack say high-end retailer planet represented; downtown hilly pike street walkable not steep; grayline tours desk lobby picks hostel tours airport shuttles handy; bad hostel pool inside floor ill lit chilly; obviously heated not; jacuzzi nice; soda machine floor floor broken ones did work refused function used change bills; pleasant little porch area corner entrance closed sunday night construction going hostel forcing enter exit hostel badly designed main entrance; essentially driveway taxis limos cars constantly arriving leaving bit hazardous navigate especially no pedestrian walk extends public sidewalk just hop apron near hostel doors hope suv n't swing corner pretty blind construction overhang; lobby area dark uninviting; guessing chihuly sculpture kept reading removed construction safekeeping.summary overall nice hostel bad spots; little concerned entrance issue elderly travelling elderly shaky/weak feet getting door sidewalk clearly bit dangerous;  
Satkar girls hostel,Indore,22.6851667,75.8693719,4,Bhawarkuan; Indore,7Votes,9300832533,9302113353,Indrapuri Colony; Bhanwar Kuwa; Indore; Madhya Pradesh; India,12000,7000,6500,For Girls,AC,Wifi,Mess,NA,NA,posh hostel husband stayed hilton seattle september 2003 night really liked; stayed queen room bed; bed linens wall paper furniture bathroom really nice; nice view; centrally located; reserved room hotwire.com room 100;  
Satkar Girls Hostels Campus-07,Indore,22.6914213,75.8651815,4.8,Bhawarkuan; Indore,8Votes,0731 - 4075559,9755588862,59; Siddharth Nagar; Indore; Madhya Pradesh 452014; India,12000,6500,6000,For Girls,AC,Wifi,Mess,Cleaning,Security,overall great hostel stayed 6 days october 2004 convention; brought wife toddler son.the location incredibly convenient downtown seattle close convention center pike marketplace restaurants.the desk staff cordial provided room wanted reasonable time.the room received good view little puget sound clean comfortable; facilities maintained pool added plus.service room service bell staff maid service concierge friendly excellent.on-site restaurants over-priced unimpressive food spotty service.the hostel little pricey despite convention-associated discounts reasonable considering overall consistent quality.notably checking mistake mini-bar charge 10 disputed removed promptly type apology mistake; overall desk left bad taste mouth marred decent stay.in sum great hostel consistently excellent service family-friendly; little pricey considering mediocre restaurant offerings reasonable value; probably need monitor desk staff carefully offer impression impression customers;  
Satkar Suvidha For Girls,Indore,22.6893995,75.8655368,3.4,Bhawarkuan; Indore,9Votes,9826601579,8109110340,160/2; Ahilya Puri; Indrapuri Colony; Colony; Indore; Madhya Pradesh 452001; India,NA,NA,5000,For Girls,NonAC,Wifi,Mess,Cleaning,Security,not quite title review basically sums recent stay andra; overall satisfied stay got deep discount left wondering listed small luxury hostels world.we lux king corner suite suite quite spacious quiet did restful sleep; beds/linens soft comfortable brought extra pillows requested; plenty storage suite 2 closets set drawers plus generously-sized night tables plus.however sofa disappointing cheap construction sagging middle fairly uncomfortable sit watch tv; armchair seriously needed recovering edges worn dirty frayed; suite overhaul soon noticed chipped paint plus chipped scratched furniture; carpets felt bit grimy overall feeling room cleaner.the bathroom small knew going having read past reviews; did not bother adequate shelves storage; like soaking tub forget; tub low overflow drain obviously designed hates baths; 5'2 not big maximum water level came lower abdomen; reclined trying soak water kept draining gave 5 minutes; shower pressure good tons hot water time day; face stockholm amenities delicious subtle white tea fragrance bottles size postage stamps cheap luxury hostel; staff happy send tiring request daily basis.the staff 20-30 somethings pleasant eager; feel not achieved luxury level service; simple request sent seattle times v. new york times like read local news; daily basis received new york times credit swiftly replaced seattle times request n't asking 4 days row; time asked desk person reconfirm reservation concierge left looked like handed dead fish; nitpicking expect maybe motel 6 v. luxury hostel; actually place andra slightly 3 star hostel not luxury level; staff accomodating pleasant room ok. stay got low rate not stay pay high season rate approx 480.00 felt service room not worth;  
Satkar Suvidha For Girls,Indore,22.6841706,75.8640829,3,Bhawarkuan; Indore,7Votes,9826601579,8109110340,36/2; Bholaram Ustad Marg; Brahmapuri Colony; Shivampuri Colony; Indore; Madhya Pradesh 452001; India,NA,4500,4000,For Girls,NonAC,Wifi,Mess,Cleaning,Security,good experience having booked minute escape university tower hostel review proved excellent minute find.central clean rooms good views albeit rooms exec levels n't exactly spacious.try book executive rooms possible good choice breakfast hors d'oeuvres day makes overall package palatable.restaurant little pricey good food staying night skip try benihana just road hostel great food atmosphere;  
Satkar Suvidha For Girls,Indore,22.6885487,75.8671628,2.8,Bhawarkuan; Indore,6Votes,9826601579,8109110340,Indrapuri Colony Main Rd; Indrapuri Colony; Bhanwar Kuwa; Indore; Madhya Pradesh 452014; India,7500,6000,5500,For Girls,NonAC,Wifi,Mess,Cleaning,Security,yuck; stayed hostel nights earlier month; stayed number renaissance hostels states europe happy; read reviews surprised mixed report felt worth risk trying use remaining marriott points free stay category 5 hostel bad; shocked; room straight 70s earlier; worn carpet worn furniture ancient bathroom; satisfactory no mood different hostel thought; tried use internet; sorry just sucks hostel; hours work online transfer files; slower old fashioned modem remember; spent hour phone internet dept kept claiming people hostel sharing files overloading network did make slightly better; took night files transfer hostel; comparison work days earlier westin canada hour; totally unacceptable; tried luck wireless neighboring hostel instead absolutely no way convinced return hostel;  
SD For Girls,Indore,22.7124967,75.8794448,3.2,M Y Hospital; Indore,6Votes,0731 - 2702182,9425955930,Shop No. 37; MY Hospital Rd; Jaora Compund;Dalson Chambers; CRP Line; South Tukoganj; Tukoganj; Indore; Madhya Pradesh 452001; India,"8,000","6,500",5500,For Girls,NonAC,Wifi,Mess,Cleaning,Security,checked tripadvisor place terrible just reviewers tripadvisor indicates; couple reviews looks like written hostel staff exact opposite real experience.from low quality toiletries inconsistent house keeping property rated 3 star; attempts property unique look succeeds making gag incredibly poor taste decorated; like big joke you.the hostel noisy rooms tiny decor ugly staff average isolated rest seattle view overrated nearby train noisy room stinky; lounge expensive 10 drinks good view absolutely no character; experiencing boring lounge decided not bother restaurant instead cabbed city food.i recommend using tripadvisor pick 4 star hostel instead foolish like pay consequences; fact probably pick highly rated 3 star hostel fare times better did;  
Seekers Girls Accommodation,Indore,22.7232923,75.8879573,3,Old Palasia; Indore,5Votes,0731 - 2490999,9893873180,Old Palasiya 25; Mahatma Gandhi Rd; Old Palasiya; New Palasia Extension; Indore; Madhya Pradesh 452001; India,NA,"5,000","4,700",For Girls,NonAC,Wifi,Mess,Cleaning,Security,glad chose andra truly minute booking morning day arrived san francisco portland; stayed night traveling victoria bc andra charming worthy praise gotten; valet/door attendant little slow service door haphazard day desk friendly helpful not; did great seattle map given tourists questions things located; decor comfortable touches nyc chic.we got studio king bed couch far end large room sliver puget sound window room reminded nyc high end studio apartment modern spotlessly clean right fantastic frette linens bed outstandingly comfortable tiny nicely appointed bathroom; bathroom really tiny no place store hold toiletries important great soaps toiletries bedroom tv terrific sized flat screen view bed couch; did n't eat bar restaurant nightlife definitely evident ate anthony waterfront night great definitely try hostel restaurant time.so close downtown area quick walk seaport shopping n't think reason not return time;  
Shakuntla For Girls,Indore,22.6867358,75.8655812,3.4,Bhawarkuan; Indore,7Votes,9893166165,9753155637,16 b; Bhawarkua Main Rd; near Hello Point; Brahmapuri Colony; Bhanwar Kuwa; Indore; Madhya Pradesh 452001; India,NA,NA,NA,For Girls,NonAC,Wifi,Mess,Cleaning,Security,nice hostel husband stayed warwick 4 years ago liked hostel location did not hesitate book trip.we asked received non-smoking room king bed high floor; hoping hostel nice view space needle; check-in nice friendly; keys minutes nice room small loveseat juliet balcony.love location hostel just block away best restaurants downtown dahlia lounge palace kitchen lola small grocery store/mini-mart right street wine; easy walk pike place market.on site hostel nice restaurant lounge area; ate breakfast hostel drinks lounge/bar times; good service.we did n't chance use did look pool exercise room located basement; pool small definitely useable; exercise room variety machines weights not newest market definitely decent machines; kept neat clean exercise room plenty towels water cooler available.i think ran maid days leaving friendly.we used business center couple times consisted 2 computers free internet printer; just needed ask key desk; nice handy.overall thought staff helpful hostel quiet good location definitely met expectations did stayed years ago; definitely return hope soon;  
Shanti Niketan Girls Hostel,Indore,22.6949206,75.8665044,3.8,Bhawarkuan; Indore,9Votes,9009233916,9009233916,158; Bhawarkua Main Rd; Ashok Nagar; Indore; Madhya Pradesh 452001; India,9000,6500,6000,For Girls,AC,Wifi,Mess,Cleaning,Security,disappointed arranging anticipated girl weekend friend escape children excited sleeping night; children want enjoy hip places cool design stay boring run-of-the hostel opted ace hostel digs; order ensure maximum uninterrupted sleep booked separate rooms; arrival hostel informed hostel mix-up online reservation room small queen-sized bed supposedly deluxe room; normally suck accept just simple mistake time really annoyed; irritation partially attributed overall nonchalant attitude uber-cool reception person did n't really attempt compensate slightly lower rate room; fact checked reservation printed sheet refused let look friend asked wanting cross-reference information sheet written reservation; strange appeared mistake did n't want admit quick blame online booking; inference fault booking online; add insult injury told shelling small fortune parking lot street parking reduced rate lot not easily marked; room dingy not charming photos web-site suggest; did couple rooms walking corridors looked lot better room did.anyway aside great location decently priced overall experience just n't impressive; days later received email hostel thanking staying hope enjoyed stay responded email outlining frustrations accomodation; not like time really needed air dissatisfaction; hostel manager replied apologetic email offered discount later night stay redeemed 1st 2008. like positive response negative experience planned return hostel husband romantic away; so-called compensatory offer acknowledged; multiple attempts contact manager specific date weekend messages nothing; did not return messages; n't know happened no reply; guess hostel does n't need business experience isolated case; event not planning stay ace time soon;  
Sharda Kunj,Indore,22.7220514,75.8618483,2.5,Jail Road; Indore,2Votes,0731 - 2543441,9425954758,Kachhi Mohalla; Jail Road; Jail Road; Indore GPO; Indore; Madhya Pradesh 452003; India,NA,NA,"1,700",For Girls,NonAC,Wifi,Mess,Cleaning,Security,better previous reviews suggest stayed downtown hilton recently nights conference; apprehensive stay given negative reviews travellers; positive experience stay did not use exercise facility business features; suggestion requested upper floor room view puget sound; quite pleasant; room clean quiet little small; bathroom amenities quite nice; ordered room service stay food excellent arrived ordered; additonally lobby bar pleasant understated; not sure hostel good value rate discounted conference served quite nicely;  
Shivalay For Boys,Indore,22.7628003,75.8824259,4.6,Vijay Nagar; Indore,9Votes,9993773990,9993773990,Plot No 5; near Life Care Hospital; Scheme Number 78; Part II; Vijay Nagar; Indore; Madhya Pradesh 452010; India,9000,6500,6000,For Boys,NonAC,Wifi,Mess,Cleaning,Security,nice hostel friendly staff no problem checking parking reviews suggested; hostels seattle charge parking went expecting; parking garage clean lit equipped elevator lobby hostel.the staff friendly met request smile; morning beverage option nice touch kids enjoyed; rooms clean maintained; wish pool larger tended kept comfortable temp; location convenient long n't walking; surely stay;  
Shivalya For Girls,Indore,22.7143561,75.8890087,3.4,Geeta Bhawan; Indore,5Votes,0731 - 2497225,0731 - 2497225,PV7Q+PJR; Lalaram Nagar; Indore; Madhya Pradesh 452001; India,NA,5000,"4,500",For Girls,NonAC,Wifi,Mess,Cleaning,Security,upgrade outdated arrived given junior suite marriott silver status; upgraded room joke; switches broken linens old bed sagged lcd tv sitting radiator not bed; addition nearly impossible king size bed no walking room; room away highway road noise bad; wife didnot sleep wink night; morning canceled 2 days reservation moved towneplace suites near airport; half price better renaissance; worst marriott stayed; stay away;  
Shivani For Girls,Indore,22.7110389,75.8756442,3,Madhumilan Square; Indore,7Votes,8103313325,8103313325,200; RNT Marg; opposite no 2 school; Chhawni; Indore; Madhya Pradesh 452001; India,NA,NA,"4,300",For Girls,NonAC,Wifi,Mess,Cleaning,Security,come n't understand bad reviews; hostel simple got exactly need nice confortable bed clean bathroom excellent price; near walked pike place market monorail;  
Shivay Girls Hostel,Indore,22.6845065,75.8644601,3.9,Bhawarkuan; Indore,6Votes,8349908802,7509068665,Bhawarkua; Shivampuri Colony; Indore; Madhya Pradesh 452014; India,11000,7000,5500,For Girls,NonAC,Wifi,Mess,Cleaning,Security,great location friendly staff comfortable beds got great deal priceline 100/night treated paid price; room nice comfortable beds complimentary coffee cocoa nice start day; location makes easy sites hills make walk little bit exercise; grayline shuttle sea tac drops hostel inexpensive; ate bar night good food reasonably priced ate restaurants water; victoria clipper 2 10 tip; definitely stay;  
Shivgaurika For Girls,Indore,22.750774,75.8992038,4.5,Vijay Nagar; Indore,3Votes,0731 - 4967412,9827222348,142; Bhagyashree Colony; Indore; Madhya Pradesh 452010; India,NA,6500,6000,For Girls,NonAC,Wifi,Mess,Cleaning,Security,worth money location recently stayed inn market returning having stayed 1999. best location seattle particularly shopping; hostel nice rooms nicely furnished not breath away rooms; views risky goes seattle sit room watch world; beds tempurpedic incredible count great night sleep; 1999 staff excellent; requested room floor terrace met request pleasantly; guests advantage terrace; nice evening shops pine street purchase nice bottle washington state wine snacks head terrace watch ships leave sunset; relaxing romantic; staff assist wine glasses; needed;  
Shradha For Girls,Indore,22.7597466,75.8672071,4,Veena Nagar; Indore,8Votes,731 - 2456788,731 - 2456788,28; Veena Nagar Main Rd; Veena Nagar; Sukhlia; Indore; Madhya Pradesh 452003; India,10000,6000,5500,For Girls,NonAC,Wifi,Mess,Cleaning,Security,stay; stayed moore 3 nights- n't better time; building old extra charming loved staff wireless network; great location right pike place market moore theater lots cute little independant shops; nice views cheap n't believe; bar downstairs excellent decorations- check;  
Shradha Girls Residency,Indore,22.6919473,75.8660795,2.6,Bhawarkuan; Indore,10Votes,9009076111,9926146876,2-3; Scheme No. 44; Bhawarkua Square; AB Rd; Vishnu Puri Colony; Indore; Madhya Pradesh 452001; India,NA,5200,4800,For Girls,NonAC,Wifi,Mess,Cleaning,Security,close convention center just stayed seattle crowne plaza feb 11-13. got great rate 65/night hotwire; checked saturday afternoon 1pm; got room 23rd floor directly elevators; did n't really hear noise hallways elevators air conditioning pretty loud covered outside noise; 2 double bed room nice view i-5; son loved view cars freeway; asked king bed lady desk said did n't available; wondering people book hotwire rooms elevators; mom assigned room elevator booked hotwire; room pretty spacious; room 2 1/2 year old son play toys; bathroom pretty tiny; shower regular sized good water pressure; conditioning shampoo mouthwash lotion facial soap supplied; crowne plaza does try add little details noticed room; arrival little red bag filled ear plugs eye mask linen spray bed; cd soft music; bathroom nightlight curtains clip light; nice touch; beds decent; room quite dry hard sleeping throats dry.the main reason seattle visit northwest flower garden held convention center; hostel good location; able walk freeway park end directly 4th floor entrance convention center 5-10 minutes; pacific place shopping center 5 blocks away westlake 7 blocks away pike place 10 blocks; walking night little scary lot homeless people lot people smoking weed begging money; did n't exactly feel safe; day ok.there no self-parking hostel; valet service; quite expensive 27/night; did notice public parking lot block 12/day.overall nice stay crowne plaza; stay got hotwire rate;  
Shree Awesome For Boys,Indore,22.6841316,75.8642088,3.5,Bhawarkuan; Indore,23Votes,9993332176,9981912176,1; AB Rd; Opposite Pipliyana; Near Brahampuri Colony; Shivampuri Colony; Indore; Madhya Pradesh 452001; India,NA,NA,5000,For Boys,NonAC,Wifi,Mess,Cleaning,Security,not book false information family just finished 7-day alaskan cruise; looking hostel seattle wa shuttle service pier hostel hostel airport place leave luggage 5-6 hrs went site seeing downtown; booking company particular hostel assured criteria met hostel booked room just store luggage 115; ended no travel accomodations hostel airport; ended having 2 taxis destinations; needless say angry extra 80 hostel; hostel manager not available phone; customer service reps finally got called 5-6 times sent email website; matter resolved hopefully; said reimburse taxi fares believe; advice situation grab taxi airport 30 flat fee downtown seatac airport check luggage early ride-on bus downtown 1.50 way seniors free kids; free ride bus downtown seattle 7pm everyday;  
Shree Balaji Homes,Indore,22.6934813,75.86727,3.5,Bhawarkuan; Indore,7Votes,731 - 2456788,731 - 2456788,Bhawarkua Main Rd; Aditya Nagar; Vishnu Puri Colony; Indore; Madhya Pradesh; India,7500,6500,6000,For Boys,NonAC,Wifi,Mess,Cleaning,Security,no miss hostel vanish no miss; hostel far jewel hilton family crown; long-in-the-tooth; room carpet pronounced grease stain temperature difficult control; room pooly lit; taking elevators thrill ride half time floor number display elevator did n't work missed digit elevator rocket past floor open inner doors motion floor making paticularly worrisome small child; interior elevator doors scratched grafitti; businessman continental breakfast place twice making play detective morning; breakfast held tiniest conference rooms gym.internet service room off-line refunds offered ask specifically.the parking garage horrendous caution not rent large long vehicle make u-turn required second floor.chances staying zero;  
Shree balaji homes girls hostel,Indore,22.691486,75.8627395,3.5,Bhawarkuan; Indore,8Votes,9425054749,9826082392,196; Vishnupuri Nx Colony; Vishnu Puri Colony; Indore; Madhya Pradesh 452001; India,7000,6500,6000,For Boys,NonAC,Wifi,Mess,Cleaning,Security,luxury luxury having stayed suite elses dime; suite king size bed day bed dining table; posh tell truth stay movie rock star.no complaints does n't better;  
Shree Kripa For Girls,Indore,22.7614058,75.8871407,3.8,Scheme No. 78 - Part II; Indore,6Votes,9826200094,7771000231,5; Scheme 78; Main Rd; opp. Prestige Engg. College; Scheme Number 78; Part II; Vijay Nagar; Indore; Madhya Pradesh 452010; India,NA,6400,6000,For Girls,NonAC,Wifi,Mess,Cleaning,Security,make reservation; wo n't disappointed; news conde nast traveler magazine recently listed hostel andra hot hostel 2005 really intrigued friend planned wedding seattle announced booked rooms immediately directly hostel using fax number website; hostel lobby bar rooms decorated hip modern welcoming scandanavian style; bar/restaurant happening place spilling lobby night stylish young people drinking talking; quiet no boorish behavior; party booked suite 299/night double 159/night; suites separate rooms advertized n't expect lot privacy door rooms louvered; group family merely good friends adequate degree separateness; rooms comfortable size clean well-furnished noticeable wear tear bathrooms bit small; beds super-comfortable guests provided great number spa-type towels; flat-screen tv rooms; business center small desk-top printer did not work stay; online e-mail free desktop lobby use guests; entire hostel wi-fi 10.00 day; say real estate best hostel location location location; blocks major shopping blocks pike place market great restaurants walking; ralph corner 40 yards away airporter connector bus 17 roundtrip compared 56 taxi picks drops 30 minutes; monorail space needle experience music project blocks away; recommend hostel andra reservation maybe reservation; make time heading seattle;  
Shree Mahaveer For Girls,Indore,22.7148731,75.8898845,3.4,Geeta Bhawan; Indore,9Votes,0731 - 2493533,9425319255,Geeta Bhavan; Indore; Madhya Pradesh 452001; India,NA,NA,"4,500",For Girls,NonAC,Wifi,Mess,Cleaning,Security,priority award floor; 32 member hilton honors priority award intercontinental chain; use hilton properties chose not pay 250.00 night seattle hilton.i given gold hostel room key checkin room 32nd floor; view quite impressive good experience ended; 32nd floor reserved priority members lounge complimentary appetizers evening; room adjacent elevator lounge; dinner returned room 9:30. 10- 12 pm/am lounge cleaned hostel staff vacuums going employees chattering making incessant noise cleaning commercial office building no regard guests priority club no floor; management clue lounge cleaned 8-9- common sense.finally posters indicated right elevator shaft hear; waited 10 minutes elevator arrive 5:00 pm; taken clue saw earplugs sleep kit bed check;  
Shree Mangal For Girls,Indore,22.7171592,75.8821379,3.3,Geeta Bhawan; Indore,8Votes,9827690417,9589337218,4a; Ratlam Kothi; Indore; Madhya Pradesh 452001; India,NA,NA,"5,500",For Girls,NonAC,Wifi,Mess,Cleaning,Security,absolutely fantastic time entered parking area felt sera celena chris cisco known lifetime; town car offer guests certainly solves taxi issue driver chris terrific dining sight seeing recommendations; entering cigar room odor problem question adam changed room gave aroom upgrade inconvenence.we recommend hostel day time; super cudos management support staff making stay enjoyable;  
Shree Paras Deep For Girls,Indore,22.7496476,75.8955032,2.9,Vijay Nagar; Indore,8Votes,0731 - 2493272,0731 - 2493272,P4; Ground Floor; Shagun Building; AB Road; Scheme No.54; Vijay Nagar Square; Ratna Lok Colony; Indore; Madhya Pradesh 452011; India,NA,5000,NA,For Girls,NonAC,Wifi,Mess,Cleaning,Security,good hostel problems wo n't bother hostel largely meets standards kimpton hostels indicated reviews; things know it.there truly quiet rooms hostel; rooms overlook spring street steep grade trucks constantly grind way; rooms largest nicest cluster elevators chime doors open; n't mind noise hostel fine place; think hostel stock white noise machines hand lend guests; second bring car aware cars parked open apparently near colony large birds; car returned covered bird droppings; told happen one-third parked cars busy night.finally rest hostel measures high kimpton standards especially staff rooms lack usual good fm radio/cd/speaker systems distinguish kimpton pack; addition tv little bedside clock radio; decent quality no means special;  
Shree Ram Group Of Hostel,Indore,22.6323231,75.8082207,3.2,Rau; Indore,6Votes,0731 - 4031050,0731 - 4031050,Shop no G1; Ground Floor; PRK Residency; Rau; Indore; Madhya Pradesh 453331; India,NA,1650,NA,For Boys,NonAC,Wifi,Mess,Cleaning,Security,n't asked better hostel experience; hostel perfect; stayed townhouse suite nights wish stayed month; soon walked room opened windows million dollar view; skyline city pike market literally 50 feet away water mountains distance; room levels kitchenette living room downstairs bedroom bathroom upstairs; bose radio great fact turned television; beds really comfortable linens top-notch; okay service word fantastic; extremely important greeted casual genuine manner time enter leave hostel eye-contact sounds easy rarity today hostel market; no matter came went greeted smile eye contact really love; staff helpful went duty ensure taken care knew great places wonderful restaurants dine at.some hostels just n't inn market definitely understands excellent service hospitality; stay small intimate property like taken care monstrous hostel; kudos staff management making fabulous hostel experience;  
